,imsi,Outlet_Type,Outlet_Location_Type
8121,OUT01,Supermarket Type2,Tier 3
8133,OUT01,Supermarket Type2,Tier 3
8139,OUT01,Supermarket Type2,Tier 3
8141,OUT01,Supermarket Type2,Tier 3
8147,OUT01,Supermarket Type2,Tier 3
8159,OUT01,Supermarket Type2,Tier 3
8179,OUT01,Supermarket Type2,Tier 3
8182,OUT01,Supermarket Type2,Tier 3
8186,OUT01,Supermarket Type2,Tier 3
8199,OUT01,Supermarket Type2,Tier 3
8210,OUT01,Supermarket Type2,Tier 3
8214,OUT01,Supermarket Type2,Tier 3
8217,OUT01,Supermarket Type2,Tier 3
8221,OUT01,Supermarket Type2,Tier 3
8225,OUT01,Supermarket Type2,Tier 3
8234,OUT01,Supermarket Type2,Tier 3
8253,OUT01,Supermarket Type2,Tier 3
8256,OUT01,Supermarket Type2,Tier 3
8258,OUT01,Supermarket Type2,Tier 3
8268,OUT01,Supermarket Type2,Tier 3
8270,OUT01,Supermarket Type2,Tier 3
8280,OUT01,Supermarket Type2,Tier 3
8294,OUT01,Supermarket Type2,Tier 3
8300,OUT01,Supermarket Type2,Tier 3
8308,OUT01,Supermarket Type2,Tier 3
8314,OUT01,Supermarket Type2,Tier 3
8315,OUT01,Supermarket Type2,Tier 3
8323,OUT01,Supermarket Type2,Tier 3
8328,OUT01,Supermarket Type2,Tier 3
8332,OUT01,Supermarket Type2,Tier 3
8339,OUT01,Supermarket Type2,Tier 3
8352,OUT01,Supermarket Type2,Tier 3
8363,OUT01,Supermarket Type2,Tier 3
8377,OUT01,Supermarket Type2,Tier 3
8385,OUT01,Supermarket Type2,Tier 3
8397,OUT01,Supermarket Type2,Tier 3
8403,OUT01,Supermarket Type2,Tier 3
8418,OUT01,Supermarket Type2,Tier 3
8421,OUT01,Supermarket Type2,Tier 3
8423,OUT01,Supermarket Type2,Tier 3
8439,OUT01,Supermarket Type2,Tier 3
8440,OUT01,Supermarket Type2,Tier 3
8445,OUT01,Supermarket Type2,Tier 3
8448,OUT01,Supermarket Type2,Tier 3
8482,OUT01,Supermarket Type2,Tier 3
8489,OUT01,Supermarket Type2,Tier 3
8491,OUT01,Supermarket Type2,Tier 3
8498,OUT01,Supermarket Type2,Tier 3
8505,OUT01,Supermarket Type2,Tier 3
8506,OUT01,Supermarket Type2,Tier 3
8511,OUT01,Supermarket Type2,Tier 3
8515,OUT01,Supermarket Type2,Tier 3
8516,OUT01,Supermarket Type2,Tier 3
8521,OUT01,Supermarket Type2,Tier 3
6,OUT01,Supermarket Type2,Tier 3
17,OUT01,Supermarket Type2,Tier 3
31,OUT01,Supermarket Type2,Tier 3
32,OUT01,Supermarket Type2,Tier 3
40,OUT01,Supermarket Type2,Tier 3
43,OUT01,Supermarket Type2,Tier 3
72,OUT01,Supermarket Type2,Tier 3
81,OUT01,Supermarket Type2,Tier 3
93,OUT01,Supermarket Type2,Tier 3
97,OUT01,Supermarket Type2,Tier 3
100,OUT01,Supermarket Type2,Tier 3
109,OUT01,Supermarket Type2,Tier 3
124,OUT01,Supermarket Type2,Tier 3
127,OUT01,Supermarket Type2,Tier 3
128,OUT01,Supermarket Type2,Tier 3
130,OUT01,Supermarket Type2,Tier 3
136,OUT01,Supermarket Type2,Tier 3
154,OUT01,Supermarket Type2,Tier 3
156,OUT01,Supermarket Type2,Tier 3
175,OUT01,Supermarket Type2,Tier 3
181,OUT01,Supermarket Type2,Tier 3
191,OUT01,Supermarket Type2,Tier 3
204,OUT01,Supermarket Type2,Tier 3
212,OUT01,Supermarket Type2,Tier 3
226,OUT01,Supermarket Type2,Tier 3
262,OUT01,Supermarket Type2,Tier 3
266,OUT01,Supermarket Type2,Tier 3
279,OUT01,Supermarket Type2,Tier 3
281,OUT01,Supermarket Type2,Tier 3
299,OUT01,Supermarket Type2,Tier 3
312,OUT01,Supermarket Type2,Tier 3
315,OUT01,Supermarket Type2,Tier 3
319,OUT01,Supermarket Type2,Tier 3
321,OUT01,Supermarket Type2,Tier 3
329,OUT01,Supermarket Type2,Tier 3
340,OUT01,Supermarket Type2,Tier 3
355,OUT01,Supermarket Type2,Tier 3
364,OUT01,Supermarket Type2,Tier 3
365,OUT01,Supermarket Type2,Tier 3
366,OUT01,Supermarket Type2,Tier 3
399,OUT01,Supermarket Type2,Tier 3
411,OUT01,Supermarket Type2,Tier 3
413,OUT01,Supermarket Type2,Tier 3
425,OUT01,Supermarket Type2,Tier 3
430,OUT01,Supermarket Type2,Tier 3
434,OUT01,Supermarket Type2,Tier 3
439,OUT01,Supermarket Type2,Tier 3
443,OUT01,Supermarket Type2,Tier 3
444,OUT01,Supermarket Type2,Tier 3
449,OUT01,Supermarket Type2,Tier 3
463,OUT01,Supermarket Type2,Tier 3
471,OUT01,Supermarket Type2,Tier 3
481,OUT01,Supermarket Type2,Tier 3
490,OUT01,Supermarket Type2,Tier 3
505,OUT01,Supermarket Type2,Tier 3
510,OUT01,Supermarket Type2,Tier 3
521,OUT01,Supermarket Type2,Tier 3
546,OUT01,Supermarket Type2,Tier 3
554,OUT01,Supermarket Type2,Tier 3
555,OUT01,Supermarket Type2,Tier 3
562,OUT01,Supermarket Type2,Tier 3
572,OUT01,Supermarket Type2,Tier 3
573,OUT01,Supermarket Type2,Tier 3
599,OUT01,Supermarket Type2,Tier 3
602,OUT01,Supermarket Type2,Tier 3
612,OUT01,Supermarket Type2,Tier 3
613,OUT01,Supermarket Type2,Tier 3
626,OUT01,Supermarket Type2,Tier 3
634,OUT01,Supermarket Type2,Tier 3
639,OUT01,Supermarket Type2,Tier 3
640,OUT01,Supermarket Type2,Tier 3
652,OUT01,Supermarket Type2,Tier 3
671,OUT01,Supermarket Type2,Tier 3
673,OUT01,Supermarket Type2,Tier 3
677,OUT01,Supermarket Type2,Tier 3
684,OUT01,Supermarket Type2,Tier 3
710,OUT01,Supermarket Type2,Tier 3
724,OUT01,Supermarket Type2,Tier 3
736,OUT01,Supermarket Type2,Tier 3
751,OUT01,Supermarket Type2,Tier 3
759,OUT01,Supermarket Type2,Tier 3
764,OUT01,Supermarket Type2,Tier 3
769,OUT01,Supermarket Type2,Tier 3
771,OUT01,Supermarket Type2,Tier 3
776,OUT01,Supermarket Type2,Tier 3
784,OUT01,Supermarket Type2,Tier 3
787,OUT01,Supermarket Type2,Tier 3
791,OUT01,Supermarket Type2,Tier 3
792,OUT01,Supermarket Type2,Tier 3
795,OUT01,Supermarket Type2,Tier 3
798,OUT01,Supermarket Type2,Tier 3
802,OUT01,Supermarket Type2,Tier 3
823,OUT01,Supermarket Type2,Tier 3
829,OUT01,Supermarket Type2,Tier 3
839,OUT01,Supermarket Type2,Tier 3
842,OUT01,Supermarket Type2,Tier 3
846,OUT01,Supermarket Type2,Tier 3
848,OUT01,Supermarket Type2,Tier 3
849,OUT01,Supermarket Type2,Tier 3
855,OUT01,Supermarket Type2,Tier 3
876,OUT01,Supermarket Type2,Tier 3
883,OUT01,Supermarket Type2,Tier 3
885,OUT01,Supermarket Type2,Tier 3
899,OUT01,Supermarket Type2,Tier 3
900,OUT01,Supermarket Type2,Tier 3
923,OUT01,Supermarket Type2,Tier 3
929,OUT01,Supermarket Type2,Tier 3
956,OUT01,Supermarket Type2,Tier 3
964,OUT01,Supermarket Type2,Tier 3
1019,OUT01,Supermarket Type2,Tier 3
1026,OUT01,Supermarket Type2,Tier 3
1032,OUT01,Supermarket Type2,Tier 3
1047,OUT01,Supermarket Type2,Tier 3
1060,OUT01,Supermarket Type2,Tier 3
1062,OUT01,Supermarket Type2,Tier 3
1073,OUT01,Supermarket Type2,Tier 3
1089,OUT01,Supermarket Type2,Tier 3
1097,OUT01,Supermarket Type2,Tier 3
1099,OUT01,Supermarket Type2,Tier 3
1127,OUT01,Supermarket Type2,Tier 3
1131,OUT01,Supermarket Type2,Tier 3
1136,OUT01,Supermarket Type2,Tier 3
1138,OUT01,Supermarket Type2,Tier 3
1145,OUT01,Supermarket Type2,Tier 3
1147,OUT01,Supermarket Type2,Tier 3
1150,OUT01,Supermarket Type2,Tier 3
1160,OUT01,Supermarket Type2,Tier 3
1178,OUT01,Supermarket Type2,Tier 3
1179,OUT01,Supermarket Type2,Tier 3
1183,OUT01,Supermarket Type2,Tier 3
1186,OUT01,Supermarket Type2,Tier 3
1200,OUT01,Supermarket Type2,Tier 3
1207,OUT01,Supermarket Type2,Tier 3
1214,OUT01,Supermarket Type2,Tier 3
1217,OUT01,Supermarket Type2,Tier 3
1223,OUT01,Supermarket Type2,Tier 3
1246,OUT01,Supermarket Type2,Tier 3
1249,OUT01,Supermarket Type2,Tier 3
1262,OUT01,Supermarket Type2,Tier 3
1264,OUT01,Supermarket Type2,Tier 3
1269,OUT01,Supermarket Type2,Tier 3
1298,OUT01,Supermarket Type2,Tier 3
1321,OUT01,Supermarket Type2,Tier 3
1336,OUT01,Supermarket Type2,Tier 3
1338,OUT01,Supermarket Type2,Tier 3
1340,OUT01,Supermarket Type2,Tier 3
1349,OUT01,Supermarket Type2,Tier 3
1354,OUT01,Supermarket Type2,Tier 3
1360,OUT01,Supermarket Type2,Tier 3
1365,OUT01,Supermarket Type2,Tier 3
1373,OUT01,Supermarket Type2,Tier 3
1381,OUT01,Supermarket Type2,Tier 3
1386,OUT01,Supermarket Type2,Tier 3
1387,OUT01,Supermarket Type2,Tier 3
1395,OUT01,Supermarket Type2,Tier 3
1405,OUT01,Supermarket Type2,Tier 3
1409,OUT01,Supermarket Type2,Tier 3
1419,OUT01,Supermarket Type2,Tier 3
1430,OUT01,Supermarket Type2,Tier 3
1456,OUT01,Supermarket Type2,Tier 3
1459,OUT01,Supermarket Type2,Tier 3
1466,OUT01,Supermarket Type2,Tier 3
1470,OUT01,Supermarket Type2,Tier 3
1491,OUT01,Supermarket Type2,Tier 3
1501,OUT01,Supermarket Type2,Tier 3
1512,OUT01,Supermarket Type2,Tier 3
1521,OUT01,Supermarket Type2,Tier 3
1526,OUT01,Supermarket Type2,Tier 3
1533,OUT01,Supermarket Type2,Tier 3
1538,OUT01,Supermarket Type2,Tier 3
1569,OUT01,Supermarket Type2,Tier 3
1572,OUT01,Supermarket Type2,Tier 3
1597,OUT01,Supermarket Type2,Tier 3
1599,OUT01,Supermarket Type2,Tier 3
1602,OUT01,Supermarket Type2,Tier 3
1605,OUT01,Supermarket Type2,Tier 3
1623,OUT01,Supermarket Type2,Tier 3
1624,OUT01,Supermarket Type2,Tier 3
1625,OUT01,Supermarket Type2,Tier 3
1630,OUT01,Supermarket Type2,Tier 3
1645,OUT01,Supermarket Type2,Tier 3
1655,OUT01,Supermarket Type2,Tier 3
1672,OUT01,Supermarket Type2,Tier 3
1679,OUT01,Supermarket Type2,Tier 3
1693,OUT01,Supermarket Type2,Tier 3
1702,OUT01,Supermarket Type2,Tier 3
1717,OUT01,Supermarket Type2,Tier 3
1731,OUT01,Supermarket Type2,Tier 3
1735,OUT01,Supermarket Type2,Tier 3
1738,OUT01,Supermarket Type2,Tier 3
1739,OUT01,Supermarket Type2,Tier 3
1747,OUT01,Supermarket Type2,Tier 3
1751,OUT01,Supermarket Type2,Tier 3
1755,OUT01,Supermarket Type2,Tier 3
1758,OUT01,Supermarket Type2,Tier 3
1760,OUT01,Supermarket Type2,Tier 3
1764,OUT01,Supermarket Type2,Tier 3
1765,OUT01,Supermarket Type2,Tier 3
1776,OUT01,Supermarket Type2,Tier 3
1786,OUT01,Supermarket Type2,Tier 3
1788,OUT01,Supermarket Type2,Tier 3
1796,OUT01,Supermarket Type2,Tier 3
1800,OUT01,Supermarket Type2,Tier 3
1829,OUT01,Supermarket Type2,Tier 3
1832,OUT01,Supermarket Type2,Tier 3
1834,OUT01,Supermarket Type2,Tier 3
1838,OUT01,Supermarket Type2,Tier 3
1846,OUT01,Supermarket Type2,Tier 3
1854,OUT01,Supermarket Type2,Tier 3
1858,OUT01,Supermarket Type2,Tier 3
1874,OUT01,Supermarket Type2,Tier 3
1891,OUT01,Supermarket Type2,Tier 3
1897,OUT01,Supermarket Type2,Tier 3
1926,OUT01,Supermarket Type2,Tier 3
1942,OUT01,Supermarket Type2,Tier 3
1943,OUT01,Supermarket Type2,Tier 3
1963,OUT01,Supermarket Type2,Tier 3
1985,OUT01,Supermarket Type2,Tier 3
2000,OUT01,Supermarket Type2,Tier 3
2008,OUT01,Supermarket Type2,Tier 3
2030,OUT01,Supermarket Type2,Tier 3
2034,OUT01,Supermarket Type2,Tier 3
2038,OUT01,Supermarket Type2,Tier 3
2046,OUT01,Supermarket Type2,Tier 3
2049,OUT01,Supermarket Type2,Tier 3
2051,OUT01,Supermarket Type2,Tier 3
2054,OUT01,Supermarket Type2,Tier 3
2060,OUT01,Supermarket Type2,Tier 3
2071,OUT01,Supermarket Type2,Tier 3
2074,OUT01,Supermarket Type2,Tier 3
2076,OUT01,Supermarket Type2,Tier 3
2086,OUT01,Supermarket Type2,Tier 3
2088,OUT01,Supermarket Type2,Tier 3
2098,OUT01,Supermarket Type2,Tier 3
2100,OUT01,Supermarket Type2,Tier 3
2106,OUT01,Supermarket Type2,Tier 3
2112,OUT01,Supermarket Type2,Tier 3
2118,OUT01,Supermarket Type2,Tier 3
2125,OUT01,Supermarket Type2,Tier 3
2134,OUT01,Supermarket Type2,Tier 3
2165,OUT01,Supermarket Type2,Tier 3
2172,OUT01,Supermarket Type2,Tier 3
2174,OUT01,Supermarket Type2,Tier 3
2177,OUT01,Supermarket Type2,Tier 3
2184,OUT01,Supermarket Type2,Tier 3
2188,OUT01,Supermarket Type2,Tier 3
2191,OUT01,Supermarket Type2,Tier 3
2194,OUT01,Supermarket Type2,Tier 3
2205,OUT01,Supermarket Type2,Tier 3
2206,OUT01,Supermarket Type2,Tier 3
2216,OUT01,Supermarket Type2,Tier 3
2218,OUT01,Supermarket Type2,Tier 3
2222,OUT01,Supermarket Type2,Tier 3
2228,OUT01,Supermarket Type2,Tier 3
2235,OUT01,Supermarket Type2,Tier 3
2249,OUT01,Supermarket Type2,Tier 3
2270,OUT01,Supermarket Type2,Tier 3
2275,OUT01,Supermarket Type2,Tier 3
2281,OUT01,Supermarket Type2,Tier 3
2291,OUT01,Supermarket Type2,Tier 3
2315,OUT01,Supermarket Type2,Tier 3
2324,OUT01,Supermarket Type2,Tier 3
2327,OUT01,Supermarket Type2,Tier 3
2333,OUT01,Supermarket Type2,Tier 3
2336,OUT01,Supermarket Type2,Tier 3
2344,OUT01,Supermarket Type2,Tier 3
2352,OUT01,Supermarket Type2,Tier 3
2357,OUT01,Supermarket Type2,Tier 3
2362,OUT01,Supermarket Type2,Tier 3
2363,OUT01,Supermarket Type2,Tier 3
2368,OUT01,Supermarket Type2,Tier 3
2373,OUT01,Supermarket Type2,Tier 3
2377,OUT01,Supermarket Type2,Tier 3
2391,OUT01,Supermarket Type2,Tier 3
2414,OUT01,Supermarket Type2,Tier 3
2418,OUT01,Supermarket Type2,Tier 3
2427,OUT01,Supermarket Type2,Tier 3
2428,OUT01,Supermarket Type2,Tier 3
2429,OUT01,Supermarket Type2,Tier 3
2451,OUT01,Supermarket Type2,Tier 3
2452,OUT01,Supermarket Type2,Tier 3
2457,OUT01,Supermarket Type2,Tier 3
2458,OUT01,Supermarket Type2,Tier 3
2481,OUT01,Supermarket Type2,Tier 3
2498,OUT01,Supermarket Type2,Tier 3
2500,OUT01,Supermarket Type2,Tier 3
2507,OUT01,Supermarket Type2,Tier 3
2523,OUT01,Supermarket Type2,Tier 3
2526,OUT01,Supermarket Type2,Tier 3
2528,OUT01,Supermarket Type2,Tier 3
2529,OUT01,Supermarket Type2,Tier 3
2543,OUT01,Supermarket Type2,Tier 3
2548,OUT01,Supermarket Type2,Tier 3
2558,OUT01,Supermarket Type2,Tier 3
2562,OUT01,Supermarket Type2,Tier 3
2564,OUT01,Supermarket Type2,Tier 3
2566,OUT01,Supermarket Type2,Tier 3
2572,OUT01,Supermarket Type2,Tier 3
2595,OUT01,Supermarket Type2,Tier 3
2596,OUT01,Supermarket Type2,Tier 3
2629,OUT01,Supermarket Type2,Tier 3
2637,OUT01,Supermarket Type2,Tier 3
2641,OUT01,Supermarket Type2,Tier 3
2651,OUT01,Supermarket Type2,Tier 3
2671,OUT01,Supermarket Type2,Tier 3
2675,OUT01,Supermarket Type2,Tier 3
2683,OUT01,Supermarket Type2,Tier 3
2692,OUT01,Supermarket Type2,Tier 3
2706,OUT01,Supermarket Type2,Tier 3
2707,OUT01,Supermarket Type2,Tier 3
2713,OUT01,Supermarket Type2,Tier 3
2726,OUT01,Supermarket Type2,Tier 3
2729,OUT01,Supermarket Type2,Tier 3
2734,OUT01,Supermarket Type2,Tier 3
2737,OUT01,Supermarket Type2,Tier 3
2741,OUT01,Supermarket Type2,Tier 3
2745,OUT01,Supermarket Type2,Tier 3
2750,OUT01,Supermarket Type2,Tier 3
2752,OUT01,Supermarket Type2,Tier 3
2755,OUT01,Supermarket Type2,Tier 3
2764,OUT01,Supermarket Type2,Tier 3
2767,OUT01,Supermarket Type2,Tier 3
2778,OUT01,Supermarket Type2,Tier 3
2785,OUT01,Supermarket Type2,Tier 3
2796,OUT01,Supermarket Type2,Tier 3
2817,OUT01,Supermarket Type2,Tier 3
2840,OUT01,Supermarket Type2,Tier 3
2844,OUT01,Supermarket Type2,Tier 3
2847,OUT01,Supermarket Type2,Tier 3
2872,OUT01,Supermarket Type2,Tier 3
2878,OUT01,Supermarket Type2,Tier 3
2879,OUT01,Supermarket Type2,Tier 3
2883,OUT01,Supermarket Type2,Tier 3
2895,OUT01,Supermarket Type2,Tier 3
2900,OUT01,Supermarket Type2,Tier 3
2915,OUT01,Supermarket Type2,Tier 3
2929,OUT01,Supermarket Type2,Tier 3
2935,OUT01,Supermarket Type2,Tier 3
2937,OUT01,Supermarket Type2,Tier 3
2946,OUT01,Supermarket Type2,Tier 3
2961,OUT01,Supermarket Type2,Tier 3
2965,OUT01,Supermarket Type2,Tier 3
2969,OUT01,Supermarket Type2,Tier 3
2975,OUT01,Supermarket Type2,Tier 3
2977,OUT01,Supermarket Type2,Tier 3
2984,OUT01,Supermarket Type2,Tier 3
3014,OUT01,Supermarket Type2,Tier 3
3030,OUT01,Supermarket Type2,Tier 3
3034,OUT01,Supermarket Type2,Tier 3
3043,OUT01,Supermarket Type2,Tier 3
3049,OUT01,Supermarket Type2,Tier 3
3055,OUT01,Supermarket Type2,Tier 3
3058,OUT01,Supermarket Type2,Tier 3
3061,OUT01,Supermarket Type2,Tier 3
3086,OUT01,Supermarket Type2,Tier 3
3090,OUT01,Supermarket Type2,Tier 3
3100,OUT01,Supermarket Type2,Tier 3
3105,OUT01,Supermarket Type2,Tier 3
3112,OUT01,Supermarket Type2,Tier 3
3135,OUT01,Supermarket Type2,Tier 3
3140,OUT01,Supermarket Type2,Tier 3
3161,OUT01,Supermarket Type2,Tier 3
3167,OUT01,Supermarket Type2,Tier 3
3175,OUT01,Supermarket Type2,Tier 3
3192,OUT01,Supermarket Type2,Tier 3
3204,OUT01,Supermarket Type2,Tier 3
3230,OUT01,Supermarket Type2,Tier 3
3232,OUT01,Supermarket Type2,Tier 3
3242,OUT01,Supermarket Type2,Tier 3
3250,OUT01,Supermarket Type2,Tier 3
3255,OUT01,Supermarket Type2,Tier 3
3277,OUT01,Supermarket Type2,Tier 3
3279,OUT01,Supermarket Type2,Tier 3
3287,OUT01,Supermarket Type2,Tier 3
3309,OUT01,Supermarket Type2,Tier 3
3318,OUT01,Supermarket Type2,Tier 3
3327,OUT01,Supermarket Type2,Tier 3
3345,OUT01,Supermarket Type2,Tier 3
3347,OUT01,Supermarket Type2,Tier 3
3350,OUT01,Supermarket Type2,Tier 3
3372,OUT01,Supermarket Type2,Tier 3
3373,OUT01,Supermarket Type2,Tier 3
3385,OUT01,Supermarket Type2,Tier 3
3386,OUT01,Supermarket Type2,Tier 3
3393,OUT01,Supermarket Type2,Tier 3
3421,OUT01,Supermarket Type2,Tier 3
3423,OUT01,Supermarket Type2,Tier 3
3427,OUT01,Supermarket Type2,Tier 3
3432,OUT01,Supermarket Type2,Tier 3
3436,OUT01,Supermarket Type2,Tier 3
3443,OUT01,Supermarket Type2,Tier 3
3445,OUT01,Supermarket Type2,Tier 3
3446,OUT01,Supermarket Type2,Tier 3
3455,OUT01,Supermarket Type2,Tier 3
3478,OUT01,Supermarket Type2,Tier 3
3481,OUT01,Supermarket Type2,Tier 3
3484,OUT01,Supermarket Type2,Tier 3
3503,OUT01,Supermarket Type2,Tier 3
3514,OUT01,Supermarket Type2,Tier 3
3522,OUT01,Supermarket Type2,Tier 3
3527,OUT01,Supermarket Type2,Tier 3
3542,OUT01,Supermarket Type2,Tier 3
3544,OUT01,Supermarket Type2,Tier 3
3545,OUT01,Supermarket Type2,Tier 3
3569,OUT01,Supermarket Type2,Tier 3
3570,OUT01,Supermarket Type2,Tier 3
3573,OUT01,Supermarket Type2,Tier 3
3610,OUT01,Supermarket Type2,Tier 3
3615,OUT01,Supermarket Type2,Tier 3
3621,OUT01,Supermarket Type2,Tier 3
3625,OUT01,Supermarket Type2,Tier 3
3633,OUT01,Supermarket Type2,Tier 3
3646,OUT01,Supermarket Type2,Tier 3
3650,OUT01,Supermarket Type2,Tier 3
3658,OUT01,Supermarket Type2,Tier 3
3665,OUT01,Supermarket Type2,Tier 3
3668,OUT01,Supermarket Type2,Tier 3
3676,OUT01,Supermarket Type2,Tier 3
3678,OUT01,Supermarket Type2,Tier 3
3686,OUT01,Supermarket Type2,Tier 3
3703,OUT01,Supermarket Type2,Tier 3
3706,OUT01,Supermarket Type2,Tier 3
3709,OUT01,Supermarket Type2,Tier 3
3710,OUT01,Supermarket Type2,Tier 3
3718,OUT01,Supermarket Type2,Tier 3
3722,OUT01,Supermarket Type2,Tier 3
3758,OUT01,Supermarket Type2,Tier 3
3775,OUT01,Supermarket Type2,Tier 3
3783,OUT01,Supermarket Type2,Tier 3
3793,OUT01,Supermarket Type2,Tier 3
3798,OUT01,Supermarket Type2,Tier 3
3800,OUT01,Supermarket Type2,Tier 3
3802,OUT01,Supermarket Type2,Tier 3
3856,OUT01,Supermarket Type2,Tier 3
3872,OUT01,Supermarket Type2,Tier 3
3876,OUT01,Supermarket Type2,Tier 3
3906,OUT01,Supermarket Type2,Tier 3
3925,OUT01,Supermarket Type2,Tier 3
3934,OUT01,Supermarket Type2,Tier 3
3938,OUT01,Supermarket Type2,Tier 3
3944,OUT01,Supermarket Type2,Tier 3
3959,OUT01,Supermarket Type2,Tier 3
3960,OUT01,Supermarket Type2,Tier 3
3973,OUT01,Supermarket Type2,Tier 3
3975,OUT01,Supermarket Type2,Tier 3
3983,OUT01,Supermarket Type2,Tier 3
3992,OUT01,Supermarket Type2,Tier 3
3998,OUT01,Supermarket Type2,Tier 3
4016,OUT01,Supermarket Type2,Tier 3
4018,OUT01,Supermarket Type2,Tier 3
4022,OUT01,Supermarket Type2,Tier 3
4053,OUT01,Supermarket Type2,Tier 3
4095,OUT01,Supermarket Type2,Tier 3
4098,OUT01,Supermarket Type2,Tier 3
4124,OUT01,Supermarket Type2,Tier 3
4164,OUT01,Supermarket Type2,Tier 3
4169,OUT01,Supermarket Type2,Tier 3
4172,OUT01,Supermarket Type2,Tier 3
4182,OUT01,Supermarket Type2,Tier 3
4192,OUT01,Supermarket Type2,Tier 3
4199,OUT01,Supermarket Type2,Tier 3
4201,OUT01,Supermarket Type2,Tier 3
4230,OUT01,Supermarket Type2,Tier 3
4235,OUT01,Supermarket Type2,Tier 3
4239,OUT01,Supermarket Type2,Tier 3
4252,OUT01,Supermarket Type2,Tier 3
4269,OUT01,Supermarket Type2,Tier 3
4275,OUT01,Supermarket Type2,Tier 3
4286,OUT01,Supermarket Type2,Tier 3
4294,OUT01,Supermarket Type2,Tier 3
4303,OUT01,Supermarket Type2,Tier 3
4305,OUT01,Supermarket Type2,Tier 3
4324,OUT01,Supermarket Type2,Tier 3
4336,OUT01,Supermarket Type2,Tier 3
4337,OUT01,Supermarket Type2,Tier 3
4346,OUT01,Supermarket Type2,Tier 3
4353,OUT01,Supermarket Type2,Tier 3
4368,OUT01,Supermarket Type2,Tier 3
4369,OUT01,Supermarket Type2,Tier 3
4372,OUT01,Supermarket Type2,Tier 3
4389,OUT01,Supermarket Type2,Tier 3
4442,OUT01,Supermarket Type2,Tier 3
4465,OUT01,Supermarket Type2,Tier 3
4474,OUT01,Supermarket Type2,Tier 3
4477,OUT01,Supermarket Type2,Tier 3
4494,OUT01,Supermarket Type2,Tier 3
4504,OUT01,Supermarket Type2,Tier 3
4509,OUT01,Supermarket Type2,Tier 3
4517,OUT01,Supermarket Type2,Tier 3
4522,OUT01,Supermarket Type2,Tier 3
4525,OUT01,Supermarket Type2,Tier 3
4542,OUT01,Supermarket Type2,Tier 3
4559,OUT01,Supermarket Type2,Tier 3
4578,OUT01,Supermarket Type2,Tier 3
4579,OUT01,Supermarket Type2,Tier 3
4599,OUT01,Supermarket Type2,Tier 3
4626,OUT01,Supermarket Type2,Tier 3
4633,OUT01,Supermarket Type2,Tier 3
4642,OUT01,Supermarket Type2,Tier 3
4649,OUT01,Supermarket Type2,Tier 3
4665,OUT01,Supermarket Type2,Tier 3
4666,OUT01,Supermarket Type2,Tier 3
4677,OUT01,Supermarket Type2,Tier 3
4712,OUT01,Supermarket Type2,Tier 3
4714,OUT01,Supermarket Type2,Tier 3
4719,OUT01,Supermarket Type2,Tier 3
4725,OUT01,Supermarket Type2,Tier 3
4731,OUT01,Supermarket Type2,Tier 3
4737,OUT01,Supermarket Type2,Tier 3
4742,OUT01,Supermarket Type2,Tier 3
4743,OUT01,Supermarket Type2,Tier 3
4773,OUT01,Supermarket Type2,Tier 3
4782,OUT01,Supermarket Type2,Tier 3
4794,OUT01,Supermarket Type2,Tier 3
4808,OUT01,Supermarket Type2,Tier 3
4809,OUT01,Supermarket Type2,Tier 3
4810,OUT01,Supermarket Type2,Tier 3
4825,OUT01,Supermarket Type2,Tier 3
4827,OUT01,Supermarket Type2,Tier 3
4829,OUT01,Supermarket Type2,Tier 3
4831,OUT01,Supermarket Type2,Tier 3
4849,OUT01,Supermarket Type2,Tier 3
4855,OUT01,Supermarket Type2,Tier 3
4864,OUT01,Supermarket Type2,Tier 3
4869,OUT01,Supermarket Type2,Tier 3
4890,OUT01,Supermarket Type2,Tier 3
4892,OUT01,Supermarket Type2,Tier 3
4893,OUT01,Supermarket Type2,Tier 3
4899,OUT01,Supermarket Type2,Tier 3
4901,OUT01,Supermarket Type2,Tier 3
4908,OUT01,Supermarket Type2,Tier 3
4913,OUT01,Supermarket Type2,Tier 3
4930,OUT01,Supermarket Type2,Tier 3
4944,OUT01,Supermarket Type2,Tier 3
4952,OUT01,Supermarket Type2,Tier 3
4975,OUT01,Supermarket Type2,Tier 3
4997,OUT01,Supermarket Type2,Tier 3
5010,OUT01,Supermarket Type2,Tier 3
5019,OUT01,Supermarket Type2,Tier 3
5025,OUT01,Supermarket Type2,Tier 3
5029,OUT01,Supermarket Type2,Tier 3
5056,OUT01,Supermarket Type2,Tier 3
5065,OUT01,Supermarket Type2,Tier 3
5066,OUT01,Supermarket Type2,Tier 3
5085,OUT01,Supermarket Type2,Tier 3
5089,OUT01,Supermarket Type2,Tier 3
5090,OUT01,Supermarket Type2,Tier 3
5120,OUT01,Supermarket Type2,Tier 3
5158,OUT01,Supermarket Type2,Tier 3
5171,OUT01,Supermarket Type2,Tier 3
5176,OUT01,Supermarket Type2,Tier 3
5181,OUT01,Supermarket Type2,Tier 3
5183,OUT01,Supermarket Type2,Tier 3
5198,OUT01,Supermarket Type2,Tier 3
5209,OUT01,Supermarket Type2,Tier 3
5210,OUT01,Supermarket Type2,Tier 3
5221,OUT01,Supermarket Type2,Tier 3
5236,OUT01,Supermarket Type2,Tier 3
