,Outlet_Identifier,Outlet_Size,Outlet_Type
877,OUT035,Small,Supermarket Type1
878,OUT049,Medium,Supermarket Type1
879,OUT045,,Supermarket Type1
880,OUT017,,Supermarket Type1
881,OUT018,Medium,Supermarket Type2
882,OUT010,,Grocery Store
883,OUT010,,Grocery Store
884,OUT027,Medium,Supermarket Type3
885,OUT013,High,Supermarket Type1
886,OUT049,Medium,Supermarket Type1
887,OUT018,Medium,Supermarket Type2
888,OUT046,Small,Supermarket Type1
889,OUT035,Small,Supermarket Type1
890,OUT049,Medium,Supermarket Type1
891,OUT018,Medium,Supermarket Type2
892,OUT027,Medium,Supermarket Type3
893,OUT013,High,Supermarket Type1
894,OUT017,,Supermarket Type1
895,OUT046,Small,Supermarket Type1
896,OUT045,,Supermarket Type1
897,OUT027,Medium,Supermarket Type3
898,OUT017,,Supermarket Type1
899,OUT046,Small,Supermarket Type1
900,OUT019,Small,Grocery Store
901,OUT018,Medium,Supermarket Type2
902,OUT018,Medium,Supermarket Type2
903,OUT049,Medium,Supermarket Type1
904,OUT017,,Supermarket Type1
905,OUT046,Small,Supermarket Type1
906,OUT010,,Grocery Store
907,OUT017,,Supermarket Type1
908,OUT010,,Grocery Store
909,OUT018,Medium,Supermarket Type2
910,OUT046,Small,Supermarket Type1
911,OUT019,Small,Grocery Store
912,OUT013,High,Supermarket Type1
913,OUT010,,Grocery Store
914,OUT013,High,Supermarket Type1
915,OUT049,Medium,Supermarket Type1
916,OUT019,Small,Grocery Store
917,OUT046,Small,Supermarket Type1
918,OUT019,Small,Grocery Store
919,OUT049,Medium,Supermarket Type1
920,OUT019,Small,Grocery Store
921,OUT018,Medium,Supermarket Type2
922,OUT013,High,Supermarket Type1
923,OUT046,Small,Supermarket Type1
924,OUT019,Small,Grocery Store
925,OUT045,,Supermarket Type1
926,OUT035,Small,Supermarket Type1
927,OUT027,Medium,Supermarket Type3
928,OUT010,,Grocery Store
929,OUT013,High,Supermarket Type1
930,OUT049,Medium,Supermarket Type1
931,OUT046,Small,Supermarket Type1
932,OUT035,Small,Supermarket Type1
933,OUT019,Small,Grocery Store
934,OUT018,Medium,Supermarket Type2
935,OUT027,Medium,Supermarket Type3
936,OUT013,High,Supermarket Type1
937,OUT013,High,Supermarket Type1
938,OUT019,Small,Grocery Store
939,OUT049,Medium,Supermarket Type1
940,OUT035,Small,Supermarket Type1
941,OUT013,High,Supermarket Type1
942,OUT017,,Supermarket Type1
943,OUT018,Medium,Supermarket Type2
944,OUT013,High,Supermarket Type1
945,OUT010,,Grocery Store
946,OUT027,Medium,Supermarket Type3
947,OUT027,Medium,Supermarket Type3
948,OUT027,Medium,Supermarket Type3
949,OUT045,,Supermarket Type1
950,OUT018,Medium,Supermarket Type2
951,OUT013,High,Supermarket Type1
952,OUT027,Medium,Supermarket Type3
953,OUT010,,Grocery Store
954,OUT046,Small,Supermarket Type1
955,OUT017,,Supermarket Type1
956,OUT017,,Supermarket Type1
957,OUT045,,Supermarket Type1
958,OUT017,,Supermarket Type1
959,OUT035,Small,Supermarket Type1
960,OUT027,Medium,Supermarket Type3
961,OUT013,High,Supermarket Type1
962,OUT017,,Supermarket Type1
963,OUT045,,Supermarket Type1
964,OUT017,,Supermarket Type1
965,OUT027,Medium,Supermarket Type3
966,OUT010,,Grocery Store
967,OUT017,,Supermarket Type1
968,OUT035,Small,Supermarket Type1
969,OUT035,Small,Supermarket Type1
970,OUT049,Medium,Supermarket Type1
971,OUT045,,Supermarket Type1
972,OUT045,,Supermarket Type1
973,OUT010,,Grocery Store
974,OUT049,Medium,Supermarket Type1
975,OUT035,Small,Supermarket Type1
976,OUT019,Small,Grocery Store
977,OUT017,,Supermarket Type1
978,OUT010,,Grocery Store
979,OUT018,Medium,Supermarket Type2
980,OUT035,Small,Supermarket Type1
981,OUT027,Medium,Supermarket Type3
982,OUT010,,Grocery Store
983,OUT018,Medium,Supermarket Type2
984,OUT018,Medium,Supermarket Type2
985,OUT035,Small,Supermarket Type1
986,OUT045,,Supermarket Type1
987,OUT013,High,Supermarket Type1
988,OUT046,Small,Supermarket Type1
989,OUT027,Medium,Supermarket Type3
990,OUT046,Small,Supermarket Type1
991,OUT027,Medium,Supermarket Type3
992,OUT035,Small,Supermarket Type1
993,OUT017,,Supermarket Type1
994,OUT013,High,Supermarket Type1
995,OUT010,,Grocery Store
996,OUT035,Small,Supermarket Type1
997,OUT017,,Supermarket Type1
998,OUT035,Small,Supermarket Type1
999,OUT027,Medium,Supermarket Type3
1000,OUT027,Medium,Supermarket Type3
1001,OUT049,Medium,Supermarket Type1
1002,OUT018,Medium,Supermarket Type2
1003,OUT035,Small,Supermarket Type1
1004,OUT013,High,Supermarket Type1
1005,OUT013,High,Supermarket Type1
1006,OUT013,High,Supermarket Type1
1007,OUT013,High,Supermarket Type1
1008,OUT035,Small,Supermarket Type1
1009,OUT027,Medium,Supermarket Type3
1010,OUT046,Small,Supermarket Type1
1011,OUT018,Medium,Supermarket Type2
1012,OUT017,,Supermarket Type1
1013,OUT035,Small,Supermarket Type1
1014,OUT027,Medium,Supermarket Type3
1015,OUT013,High,Supermarket Type1
1016,OUT027,Medium,Supermarket Type3
1017,OUT045,,Supermarket Type1
1018,OUT018,Medium,Supermarket Type2
1019,OUT017,,Supermarket Type1
1020,OUT010,,Grocery Store
1021,OUT013,High,Supermarket Type1
1022,OUT010,,Grocery Store
1023,OUT045,,Supermarket Type1
1024,OUT046,Small,Supermarket Type1
1025,OUT019,Small,Grocery Store
1026,OUT035,Small,Supermarket Type1
1027,OUT018,Medium,Supermarket Type2
1028,OUT019,Small,Grocery Store
1029,OUT018,Medium,Supermarket Type2
1030,OUT010,,Grocery Store
1031,OUT046,Small,Supermarket Type1
1032,OUT046,Small,Supermarket Type1
1033,OUT027,Medium,Supermarket Type3
1034,OUT010,,Grocery Store
1035,OUT013,High,Supermarket Type1
1036,OUT045,,Supermarket Type1
1037,OUT013,High,Supermarket Type1
1038,OUT049,Medium,Supermarket Type1
1039,OUT027,Medium,Supermarket Type3
1040,OUT027,Medium,Supermarket Type3
1041,OUT027,Medium,Supermarket Type3
1042,OUT018,Medium,Supermarket Type2
1043,OUT027,Medium,Supermarket Type3
1044,OUT045,,Supermarket Type1
1045,OUT045,,Supermarket Type1
1046,OUT019,Small,Grocery Store
1047,OUT046,Small,Supermarket Type1
1048,OUT045,,Supermarket Type1
1049,OUT035,Small,Supermarket Type1
1050,OUT017,,Supermarket Type1
1051,OUT027,Medium,Supermarket Type3
1052,OUT035,Small,Supermarket Type1
1053,OUT018,Medium,Supermarket Type2
1054,OUT035,Small,Supermarket Type1
1055,OUT035,Small,Supermarket Type1
1056,OUT013,High,Supermarket Type1
1057,OUT049,Medium,Supermarket Type1
1058,OUT018,Medium,Supermarket Type2
1059,OUT017,,Supermarket Type1
1060,OUT035,Small,Supermarket Type1
1061,OUT017,,Supermarket Type1
1062,OUT035,Small,Supermarket Type1
1063,OUT018,Medium,Supermarket Type2
1064,OUT010,,Grocery Store
1065,OUT010,,Grocery Store
1066,OUT035,Small,Supermarket Type1
1067,OUT049,Medium,Supermarket Type1
1068,OUT046,Small,Supermarket Type1
1069,OUT046,Small,Supermarket Type1
1070,OUT045,,Supermarket Type1
1071,OUT035,Small,Supermarket Type1
1072,OUT035,Small,Supermarket Type1
1073,OUT045,,Supermarket Type1
1074,OUT046,Small,Supermarket Type1
1075,OUT046,Small,Supermarket Type1
1076,OUT049,Medium,Supermarket Type1
1077,OUT035,Small,Supermarket Type1
1078,OUT019,Small,Grocery Store
1079,OUT017,,Supermarket Type1
1080,OUT027,Medium,Supermarket Type3
1081,OUT049,Medium,Supermarket Type1
1082,OUT049,Medium,Supermarket Type1
1083,OUT013,High,Supermarket Type1
1084,OUT027,Medium,Supermarket Type3
1085,OUT027,Medium,Supermarket Type3
1086,OUT017,,Supermarket Type1
1087,OUT045,,Supermarket Type1
1088,OUT019,Small,Grocery Store
1089,OUT018,Medium,Supermarket Type2
1090,OUT017,,Supermarket Type1
1091,OUT013,High,Supermarket Type1
1092,OUT027,Medium,Supermarket Type3
1093,OUT035,Small,Supermarket Type1
1094,OUT049,Medium,Supermarket Type1
1095,OUT035,Small,Supermarket Type1
1096,OUT045,,Supermarket Type1
1097,OUT027,Medium,Supermarket Type3
1098,OUT045,,Supermarket Type1
1099,OUT046,Small,Supermarket Type1
1100,OUT027,Medium,Supermarket Type3
1101,OUT027,Medium,Supermarket Type3
1102,OUT017,,Supermarket Type1
1103,OUT018,Medium,Supermarket Type2
1104,OUT045,,Supermarket Type1
1105,OUT010,,Grocery Store
1106,OUT045,,Supermarket Type1
1107,OUT035,Small,Supermarket Type1
1108,OUT045,,Supermarket Type1
1109,OUT045,,Supermarket Type1
1110,OUT017,,Supermarket Type1
1111,OUT046,Small,Supermarket Type1
1112,OUT027,Medium,Supermarket Type3
1113,OUT027,Medium,Supermarket Type3
1114,OUT013,High,Supermarket Type1
1115,OUT017,,Supermarket Type1
1116,OUT017,,Supermarket Type1
1117,OUT046,Small,Supermarket Type1
1118,OUT045,,Supermarket Type1
1119,OUT010,,Grocery Store
1120,OUT010,,Grocery Store
1121,OUT013,High,Supermarket Type1
1122,OUT049,Medium,Supermarket Type1
1123,OUT049,Medium,Supermarket Type1
1124,OUT035,Small,Supermarket Type1
1125,OUT017,,Supermarket Type1
1126,OUT049,Medium,Supermarket Type1
1127,OUT027,Medium,Supermarket Type3
1128,OUT018,Medium,Supermarket Type2
1129,OUT019,Small,Grocery Store
1130,OUT019,Small,Grocery Store
1131,OUT019,Small,Grocery Store
1132,OUT013,High,Supermarket Type1
1133,OUT035,Small,Supermarket Type1
1134,OUT019,Small,Grocery Store
1135,OUT018,Medium,Supermarket Type2
1136,OUT027,Medium,Supermarket Type3
1137,OUT017,,Supermarket Type1
1138,OUT027,Medium,Supermarket Type3
1139,OUT027,Medium,Supermarket Type3
1140,OUT049,Medium,Supermarket Type1
1141,OUT035,Small,Supermarket Type1
1142,OUT027,Medium,Supermarket Type3
1143,OUT046,Small,Supermarket Type1
1144,OUT010,,Grocery Store
1145,OUT013,High,Supermarket Type1
1146,OUT049,Medium,Supermarket Type1
1147,OUT035,Small,Supermarket Type1
1148,OUT017,,Supermarket Type1
1149,OUT027,Medium,Supermarket Type3
1150,OUT013,High,Supermarket Type1
1151,OUT017,,Supermarket Type1
1152,OUT017,,Supermarket Type1
1153,OUT018,Medium,Supermarket Type2
1154,OUT027,Medium,Supermarket Type3
1155,OUT018,Medium,Supermarket Type2
1156,OUT017,,Supermarket Type1
1157,OUT035,Small,Supermarket Type1
1158,OUT046,Small,Supermarket Type1
1159,OUT019,Small,Grocery Store
1160,OUT018,Medium,Supermarket Type2
1161,OUT018,Medium,Supermarket Type2
1162,OUT017,,Supermarket Type1
1163,OUT018,Medium,Supermarket Type2
1164,OUT035,Small,Supermarket Type1
1165,OUT017,,Supermarket Type1
1166,OUT035,Small,Supermarket Type1
1167,OUT017,,Supermarket Type1
1168,OUT046,Small,Supermarket Type1
1169,OUT045,,Supermarket Type1
1170,OUT018,Medium,Supermarket Type2
1171,OUT027,Medium,Supermarket Type3
1172,OUT049,Medium,Supermarket Type1
1173,OUT027,Medium,Supermarket Type3
1174,OUT046,Small,Supermarket Type1
1175,OUT046,Small,Supermarket Type1
1176,OUT019,Small,Grocery Store
1177,OUT019,Small,Grocery Store
1178,OUT046,Small,Supermarket Type1
1179,OUT035,Small,Supermarket Type1
1180,OUT035,Small,Supermarket Type1
1181,OUT049,Medium,Supermarket Type1
1182,OUT046,Small,Supermarket Type1
1183,OUT013,High,Supermarket Type1
1184,OUT049,Medium,Supermarket Type1
1185,OUT019,Small,Grocery Store
1186,OUT049,Medium,Supermarket Type1
1187,OUT046,Small,Supermarket Type1
1188,OUT018,Medium,Supermarket Type2
1189,OUT017,,Supermarket Type1
1190,OUT018,Medium,Supermarket Type2
1191,OUT045,,Supermarket Type1
1192,OUT010,,Grocery Store
1193,OUT045,,Supermarket Type1
1194,OUT027,Medium,Supermarket Type3
1195,OUT049,Medium,Supermarket Type1
1196,OUT049,Medium,Supermarket Type1
1197,OUT045,,Supermarket Type1
1198,OUT049,Medium,Supermarket Type1
1199,OUT045,,Supermarket Type1
1200,OUT013,High,Supermarket Type1
1201,OUT049,Medium,Supermarket Type1
1202,OUT045,,Supermarket Type1
1203,OUT045,,Supermarket Type1
1204,OUT019,Small,Grocery Store
1205,OUT046,Small,Supermarket Type1
1206,OUT049,Medium,Supermarket Type1
1207,OUT035,Small,Supermarket Type1
1208,OUT035,Small,Supermarket Type1
1209,OUT013,High,Supermarket Type1
1210,OUT049,Medium,Supermarket Type1
1211,OUT045,,Supermarket Type1
1212,OUT017,,Supermarket Type1
1213,OUT017,,Supermarket Type1
1214,OUT013,High,Supermarket Type1
1215,OUT035,Small,Supermarket Type1
1216,OUT035,Small,Supermarket Type1
1217,OUT046,Small,Supermarket Type1
1218,OUT013,High,Supermarket Type1
1219,OUT018,Medium,Supermarket Type2
1220,OUT017,,Supermarket Type1
1221,OUT013,High,Supermarket Type1
1222,OUT027,Medium,Supermarket Type3
1223,OUT045,,Supermarket Type1
1224,OUT010,,Grocery Store
1225,OUT019,Small,Grocery Store
1226,OUT035,Small,Supermarket Type1
1227,OUT046,Small,Supermarket Type1
1228,OUT018,Medium,Supermarket Type2
1229,OUT013,High,Supermarket Type1
1230,OUT045,,Supermarket Type1
1231,OUT045,,Supermarket Type1
1232,OUT045,,Supermarket Type1
1233,OUT010,,Grocery Store
1234,OUT045,,Supermarket Type1
1235,OUT035,Small,Supermarket Type1
1236,OUT035,Small,Supermarket Type1
1237,OUT035,Small,Supermarket Type1
1238,OUT045,,Supermarket Type1
1239,OUT045,,Supermarket Type1
1240,OUT027,Medium,Supermarket Type3
1241,OUT017,,Supermarket Type1
1242,OUT049,Medium,Supermarket Type1
1243,OUT046,Small,Supermarket Type1
1244,OUT049,Medium,Supermarket Type1
1245,OUT013,High,Supermarket Type1
1246,OUT017,,Supermarket Type1
1247,OUT045,,Supermarket Type1
1248,OUT013,High,Supermarket Type1
1249,OUT045,,Supermarket Type1
1250,OUT017,,Supermarket Type1
1251,OUT018,Medium,Supermarket Type2
1252,OUT019,Small,Grocery Store
1253,OUT035,Small,Supermarket Type1
1254,OUT046,Small,Supermarket Type1
1255,OUT018,Medium,Supermarket Type2
1256,OUT027,Medium,Supermarket Type3
1257,OUT045,,Supermarket Type1
1258,OUT049,Medium,Supermarket Type1
1259,OUT010,,Grocery Store
1260,OUT013,High,Supermarket Type1
1261,OUT049,Medium,Supermarket Type1
1262,OUT017,,Supermarket Type1
1263,OUT049,Medium,Supermarket Type1
1264,OUT027,Medium,Supermarket Type3
1265,OUT027,Medium,Supermarket Type3
1266,OUT045,,Supermarket Type1
1267,OUT018,Medium,Supermarket Type2
1268,OUT019,Small,Grocery Store
1269,OUT045,,Supermarket Type1
1270,OUT049,Medium,Supermarket Type1
1271,OUT018,Medium,Supermarket Type2
1272,OUT010,,Grocery Store
1273,OUT049,Medium,Supermarket Type1
1274,OUT013,High,Supermarket Type1
1275,OUT017,,Supermarket Type1
1276,OUT035,Small,Supermarket Type1
1277,OUT046,Small,Supermarket Type1
1278,OUT017,,Supermarket Type1
1279,OUT013,High,Supermarket Type1
1280,OUT019,Small,Grocery Store
1281,OUT046,Small,Supermarket Type1
1282,OUT017,,Supermarket Type1
1283,OUT017,,Supermarket Type1
1284,OUT035,Small,Supermarket Type1
1285,OUT027,Medium,Supermarket Type3
1286,OUT017,,Supermarket Type1
1287,OUT013,High,Supermarket Type1
1288,OUT045,,Supermarket Type1
1289,OUT049,Medium,Supermarket Type1
1290,OUT027,Medium,Supermarket Type3
1291,OUT010,,Grocery Store
1292,OUT045,,Supermarket Type1
1293,OUT049,Medium,Supermarket Type1
1294,OUT035,Small,Supermarket Type1
1295,OUT035,Small,Supermarket Type1
1296,OUT013,High,Supermarket Type1
1297,OUT017,,Supermarket Type1
1298,OUT017,,Supermarket Type1
1299,OUT046,Small,Supermarket Type1
1300,OUT046,Small,Supermarket Type1
1301,OUT045,,Supermarket Type1
1302,OUT013,High,Supermarket Type1
1303,OUT019,Small,Grocery Store
1304,OUT018,Medium,Supermarket Type2
1305,OUT046,Small,Supermarket Type1
1306,OUT045,,Supermarket Type1
1307,OUT013,High,Supermarket Type1
1308,OUT049,Medium,Supermarket Type1
1309,OUT013,High,Supermarket Type1
1310,OUT049,Medium,Supermarket Type1
1311,OUT010,,Grocery Store
1312,OUT027,Medium,Supermarket Type3
1313,OUT027,Medium,Supermarket Type3
1314,OUT035,Small,Supermarket Type1
1315,OUT018,Medium,Supermarket Type2
1316,OUT049,Medium,Supermarket Type1
1317,OUT049,Medium,Supermarket Type1
1318,OUT035,Small,Supermarket Type1
1319,OUT010,,Grocery Store
1320,OUT049,Medium,Supermarket Type1
1321,OUT045,,Supermarket Type1
1322,OUT046,Small,Supermarket Type1
1323,OUT046,Small,Supermarket Type1
1324,OUT019,Small,Grocery Store
1325,OUT035,Small,Supermarket Type1
1326,OUT013,High,Supermarket Type1
1327,OUT013,High,Supermarket Type1
1328,OUT045,,Supermarket Type1
1329,OUT027,Medium,Supermarket Type3
1330,OUT046,Small,Supermarket Type1
1331,OUT017,,Supermarket Type1
1332,OUT018,Medium,Supermarket Type2
1333,OUT013,High,Supermarket Type1
1334,OUT049,Medium,Supermarket Type1
1335,OUT018,Medium,Supermarket Type2
1336,OUT018,Medium,Supermarket Type2
1337,OUT010,,Grocery Store
1338,OUT027,Medium,Supermarket Type3
1339,OUT046,Small,Supermarket Type1
1340,OUT045,,Supermarket Type1
1341,OUT045,,Supermarket Type1
1342,OUT045,,Supermarket Type1
1343,OUT046,Small,Supermarket Type1
1344,OUT035,Small,Supermarket Type1
1345,OUT035,Small,Supermarket Type1
1346,OUT018,Medium,Supermarket Type2
1347,OUT013,High,Supermarket Type1
1348,OUT049,Medium,Supermarket Type1
1349,OUT049,Medium,Supermarket Type1
1350,OUT019,Small,Grocery Store
1351,OUT010,,Grocery Store
1352,OUT046,Small,Supermarket Type1
1353,OUT049,Medium,Supermarket Type1
1354,OUT049,Medium,Supermarket Type1
1355,OUT013,High,Supermarket Type1
1356,OUT045,,Supermarket Type1
1357,OUT035,Small,Supermarket Type1
1358,OUT045,,Supermarket Type1
1359,OUT013,High,Supermarket Type1
1360,OUT017,,Supermarket Type1
1361,OUT017,,Supermarket Type1
1362,OUT018,Medium,Supermarket Type2
1363,OUT027,Medium,Supermarket Type3
1364,OUT046,Small,Supermarket Type1
1365,OUT046,Small,Supermarket Type1
1366,OUT019,Small,Grocery Store
1367,OUT045,,Supermarket Type1
1368,OUT045,,Supermarket Type1
1369,OUT046,Small,Supermarket Type1
1370,OUT017,,Supermarket Type1
1371,OUT018,Medium,Supermarket Type2
1372,OUT017,,Supermarket Type1
1373,OUT017,,Supermarket Type1
1374,OUT027,Medium,Supermarket Type3
1375,OUT045,,Supermarket Type1
1376,OUT013,High,Supermarket Type1
1377,OUT035,Small,Supermarket Type1
1378,OUT049,Medium,Supermarket Type1
1379,OUT027,Medium,Supermarket Type3
1380,OUT010,,Grocery Store
1381,OUT049,Medium,Supermarket Type1
1382,OUT013,High,Supermarket Type1
1383,OUT013,High,Supermarket Type1
1384,OUT018,Medium,Supermarket Type2
1385,OUT018,Medium,Supermarket Type2
1386,OUT027,Medium,Supermarket Type3
1387,OUT046,Small,Supermarket Type1
1388,OUT017,,Supermarket Type1
1389,OUT010,,Grocery Store
1390,OUT045,,Supermarket Type1
1391,OUT018,Medium,Supermarket Type2
1392,OUT018,Medium,Supermarket Type2
1393,OUT027,Medium,Supermarket Type3
1394,OUT045,,Supermarket Type1
1395,OUT035,Small,Supermarket Type1
1396,OUT045,,Supermarket Type1
1397,OUT027,Medium,Supermarket Type3
1398,OUT013,High,Supermarket Type1
1399,OUT046,Small,Supermarket Type1
1400,OUT045,,Supermarket Type1
1401,OUT045,,Supermarket Type1
1402,OUT049,Medium,Supermarket Type1
1403,OUT049,Medium,Supermarket Type1
1404,OUT046,Small,Supermarket Type1
1405,OUT049,Medium,Supermarket Type1
1406,OUT045,,Supermarket Type1
1407,OUT045,,Supermarket Type1
1408,OUT046,Small,Supermarket Type1
1409,OUT027,Medium,Supermarket Type3
1410,OUT013,High,Supermarket Type1
1411,OUT013,High,Supermarket Type1
1412,OUT017,,Supermarket Type1
1413,OUT035,Small,Supermarket Type1
1414,OUT027,Medium,Supermarket Type3
1415,OUT045,,Supermarket Type1
1416,OUT027,Medium,Supermarket Type3
1417,OUT035,Small,Supermarket Type1
1418,OUT017,,Supermarket Type1
1419,OUT017,,Supermarket Type1
1420,OUT046,Small,Supermarket Type1
1421,OUT017,,Supermarket Type1
1422,OUT013,High,Supermarket Type1
1423,OUT019,Small,Grocery Store
1424,OUT035,Small,Supermarket Type1
1425,OUT017,,Supermarket Type1
1426,OUT017,,Supermarket Type1
1427,OUT013,High,Supermarket Type1
1428,OUT017,,Supermarket Type1
1429,OUT019,Small,Grocery Store
1430,OUT017,,Supermarket Type1
1431,OUT017,,Supermarket Type1
1432,OUT017,,Supermarket Type1
1433,OUT035,Small,Supermarket Type1
1434,OUT019,Small,Grocery Store
1435,OUT035,Small,Supermarket Type1
1436,OUT027,Medium,Supermarket Type3
1437,OUT013,High,Supermarket Type1
1438,OUT013,High,Supermarket Type1
1439,OUT035,Small,Supermarket Type1
1440,OUT049,Medium,Supermarket Type1
1441,OUT019,Small,Grocery Store
1442,OUT046,Small,Supermarket Type1
1443,OUT013,High,Supermarket Type1
1444,OUT010,,Grocery Store
1445,OUT019,Small,Grocery Store
1446,OUT018,Medium,Supermarket Type2
1447,OUT045,,Supermarket Type1
1448,OUT018,Medium,Supermarket Type2
1449,OUT010,,Grocery Store
1450,OUT027,Medium,Supermarket Type3
1451,OUT017,,Supermarket Type1
1452,OUT046,Small,Supermarket Type1
1453,OUT045,,Supermarket Type1
1454,OUT019,Small,Grocery Store
1455,OUT027,Medium,Supermarket Type3
1456,OUT035,Small,Supermarket Type1
1457,OUT017,,Supermarket Type1
1458,OUT049,Medium,Supermarket Type1
1459,OUT013,High,Supermarket Type1
1460,OUT035,Small,Supermarket Type1
1461,OUT013,High,Supermarket Type1
1462,OUT019,Small,Grocery Store
1463,OUT045,,Supermarket Type1
1464,OUT046,Small,Supermarket Type1
1465,OUT046,Small,Supermarket Type1
1466,OUT035,Small,Supermarket Type1
1467,OUT027,Medium,Supermarket Type3
1468,OUT010,,Grocery Store
1469,OUT045,,Supermarket Type1
1470,OUT013,High,Supermarket Type1
1471,OUT045,,Supermarket Type1
1472,OUT027,Medium,Supermarket Type3
1473,OUT049,Medium,Supermarket Type1
1474,OUT018,Medium,Supermarket Type2
1475,OUT017,,Supermarket Type1
1476,OUT010,,Grocery Store
1477,OUT046,Small,Supermarket Type1
1478,OUT027,Medium,Supermarket Type3
1479,OUT018,Medium,Supermarket Type2
1480,OUT035,Small,Supermarket Type1
1481,OUT010,,Grocery Store
1482,OUT049,Medium,Supermarket Type1
1483,OUT013,High,Supermarket Type1
1484,OUT035,Small,Supermarket Type1
1485,OUT027,Medium,Supermarket Type3
1486,OUT049,Medium,Supermarket Type1
1487,OUT046,Small,Supermarket Type1
1488,OUT046,Small,Supermarket Type1
1489,OUT019,Small,Grocery Store
1490,OUT019,Small,Grocery Store
1491,OUT035,Small,Supermarket Type1
1492,OUT046,Small,Supermarket Type1
1493,OUT018,Medium,Supermarket Type2
1494,OUT017,,Supermarket Type1
1495,OUT035,Small,Supermarket Type1
1496,OUT010,,Grocery Store
1497,OUT017,,Supermarket Type1
1498,OUT018,Medium,Supermarket Type2
1499,OUT049,Medium,Supermarket Type1
1500,OUT013,High,Supermarket Type1
1501,OUT019,Small,Grocery Store
1502,OUT018,Medium,Supermarket Type2
1503,OUT017,,Supermarket Type1
1504,OUT027,Medium,Supermarket Type3
1505,OUT017,,Supermarket Type1
1506,OUT049,Medium,Supermarket Type1
1507,OUT018,Medium,Supermarket Type2
1508,OUT018,Medium,Supermarket Type2
1509,OUT013,High,Supermarket Type1
1510,OUT018,Medium,Supermarket Type2
1511,OUT013,High,Supermarket Type1
1512,OUT049,Medium,Supermarket Type1
1513,OUT017,,Supermarket Type1
1514,OUT027,Medium,Supermarket Type3
1515,OUT046,Small,Supermarket Type1
1516,OUT010,,Grocery Store
1517,OUT049,Medium,Supermarket Type1
1518,OUT017,,Supermarket Type1
1519,OUT017,,Supermarket Type1
1520,OUT045,,Supermarket Type1
1521,OUT013,High,Supermarket Type1
1522,OUT046,Small,Supermarket Type1
1523,OUT027,Medium,Supermarket Type3
1524,OUT027,Medium,Supermarket Type3
1525,OUT017,,Supermarket Type1
1526,OUT017,,Supermarket Type1
1527,OUT017,,Supermarket Type1
1528,OUT018,Medium,Supermarket Type2
1529,OUT046,Small,Supermarket Type1
1530,OUT046,Small,Supermarket Type1
1531,OUT027,Medium,Supermarket Type3
1532,OUT045,,Supermarket Type1
1533,OUT045,,Supermarket Type1
1534,OUT046,Small,Supermarket Type1
1535,OUT017,,Supermarket Type1
1536,OUT013,High,Supermarket Type1
1537,OUT035,Small,Supermarket Type1
1538,OUT017,,Supermarket Type1
1539,OUT018,Medium,Supermarket Type2
1540,OUT019,Small,Grocery Store
1541,OUT018,Medium,Supermarket Type2
1542,OUT018,Medium,Supermarket Type2
1543,OUT018,Medium,Supermarket Type2
1544,OUT013,High,Supermarket Type1
1545,OUT010,,Grocery Store
1546,OUT049,Medium,Supermarket Type1
1547,OUT018,Medium,Supermarket Type2
1548,OUT010,,Grocery Store
1549,OUT049,Medium,Supermarket Type1
1550,OUT046,Small,Supermarket Type1
1551,OUT046,Small,Supermarket Type1
1552,OUT018,Medium,Supermarket Type2
1553,OUT019,Small,Grocery Store
1554,OUT017,,Supermarket Type1
1555,OUT010,,Grocery Store
1556,OUT027,Medium,Supermarket Type3
1557,OUT045,,Supermarket Type1
1558,OUT018,Medium,Supermarket Type2
1559,OUT045,,Supermarket Type1
1560,OUT019,Small,Grocery Store
1561,OUT046,Small,Supermarket Type1
1562,OUT013,High,Supermarket Type1
1563,OUT035,Small,Supermarket Type1
1564,OUT049,Medium,Supermarket Type1
1565,OUT027,Medium,Supermarket Type3
1566,OUT035,Small,Supermarket Type1
1567,OUT035,Small,Supermarket Type1
1568,OUT049,Medium,Supermarket Type1
1569,OUT027,Medium,Supermarket Type3
1570,OUT049,Medium,Supermarket Type1
1571,OUT013,High,Supermarket Type1
1572,OUT027,Medium,Supermarket Type3
1573,OUT045,,Supermarket Type1
1574,OUT018,Medium,Supermarket Type2
1575,OUT019,Small,Grocery Store
1576,OUT046,Small,Supermarket Type1
1577,OUT013,High,Supermarket Type1
1578,OUT018,Medium,Supermarket Type2
1579,OUT027,Medium,Supermarket Type3
1580,OUT018,Medium,Supermarket Type2
1581,OUT046,Small,Supermarket Type1
1582,OUT046,Small,Supermarket Type1
1583,OUT046,Small,Supermarket Type1
1584,OUT049,Medium,Supermarket Type1
1585,OUT017,,Supermarket Type1
1586,OUT013,High,Supermarket Type1
1587,OUT035,Small,Supermarket Type1
1588,OUT019,Small,Grocery Store
1589,OUT046,Small,Supermarket Type1
1590,OUT010,,Grocery Store
1591,OUT027,Medium,Supermarket Type3
1592,OUT049,Medium,Supermarket Type1
1593,OUT045,,Supermarket Type1
1594,OUT027,Medium,Supermarket Type3
1595,OUT049,Medium,Supermarket Type1
1596,OUT018,Medium,Supermarket Type2
1597,OUT049,Medium,Supermarket Type1
1598,OUT045,,Supermarket Type1
1599,OUT027,Medium,Supermarket Type3
1600,OUT045,,Supermarket Type1
1601,OUT049,Medium,Supermarket Type1
1602,OUT018,Medium,Supermarket Type2
1603,OUT013,High,Supermarket Type1
